,Futbol Sahasi,Acik Havuz,Spor Salonu,SNA,Hukuk Fakultesi,Muhendislik Fakultesi,Fen Fakultesi,HUMS Fakultesi,SGKM,CASE Fakultesi,ELC,Kutuphane,Rektorluk,OMER,Kisba,Henry Ford,M Yurdu,O Yurdu,P Yurdu,R Yurdu,Tenis Kortu,N Yurdu,L Yurdu,K Yurdu,H Yurdu,I Yurdu,J Yurdu,F Yurdu,E Yurdu,B Yurdu,C Yurdu,D Yurdu,Saglik Merkezi,A Yurdu,S Yurdu,T Yurdu,G Yurdu
ELC,0.0000,0.0000,0.4000,0.0000,0.3400,0.1900,0.3100,0.6700,0.7300,0.5500,1.0000,0.5500,0.4600,0.5500,0.2200,0.1600,0.1600,0.3100,0.4600,0.6100,0.0000,0.1600,0.1600,0.0000,0.1600,0.3100,0.3100,0.3100,0.0100,0.0000,0.0100,0.1600,0.0000,0.0100,0.0000,0.0000,0.0100
Kutuphane,0.0000,0.0000,0.3100,0.0000,0.0000,0.0000,0.2800,0.4900,0.4300,0.6700,0.5500,1.0000,0.8500,0.9400,0.5500,0.3400,0.3400,0.4900,0.6400,0.7900,0.0000,0.3400,0.3400,0.0100,0.3400,0.4900,0.4900,0.4900,0.1900,0.0400,0.1900,0.3400,0.0400,0.1900,0.0000,0.0000,0.1900
Rektorluk,0.0000,0.0000,0.3400,0.0000,0.0000,0.0000,0.1600,0.3400,0.2800,0.5200,0.4600,0.8500,1.0000,0.8800,0.4900,0.5200,0.5200,0.6700,0.8200,0.9700,0.0700,0.5200,0.5200,0.1900,0.5200,0.6700,0.6700,0.6700,0.3700,0.2200,0.3700,0.5200,0.2200,0.3700,0.0700,0.0000,0.3700
OMER,0.0000,0.0000,0.2800,0.0000,0.0000,0.0000,0.2500,0.4600,0.4000,0.6100,0.5500,0.9400,0.8800,1.0000,0.4600,0.4000,0.4000,0.5500,0.7000,0.8500,0.0000,0.4000,0.4000,0.0700,0.4000,0.5500,0.5500,0.5500,0.2500,0.1000,0.2500,0.4000,0.1000,0.2500,0.0000,0.0000,0.2500
Kisba,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2200,0.3400,0.2200,0.4600,0.2200,0.5500,0.4900,0.4600,1.0000,0.3100,0.3100,0.4600,0.6100,0.7600,0.0000,0.3100,0.3100,0.0000,0.3100,0.4600,0.4600,0.4600,0.1600,0.0100,0.1600,0.3100,0.0100,0.1600,0.0000,0.0000,0.1600
Henry Ford,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,1.0000,0.8500,0.5500,0.6500,0.7500,0.3000,0.4000,0.5500,0.1500,0.1500,0.4500,0.5000,0.4500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000
M Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.8500,1.0000,0.4000,0.5000,0.7000,0.4000,0.5000,0.6500,0.4000,0.2000,0.7000,0.7500,0.7000,0.2500,0.0000,0.2000,0.3000,0.0000,0.2500,0.0000,0.0000,0.2000
O Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.4500,0.2500,0.1000,0.5500,0.4000,1.0000,0.8250,0.6500,0.6500,0.7500,0.7000,0.4500,0.4500,0.4500,0.4000,0.3500,0.3500,0.0000,0.3000,0.2000,0.0500,0.1500,0.0000,0.0000,0.3000
P Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.4000,0.7000,0.5000,0.3500,0.6500,0.5000,0.8250,1.0000,0.8250,0.4750,0.5750,0.5000,0.0000,0.5000,0.7500,0.7500,0.7500,0.2500,0.0000,0.2500,0.5000,0.0000,0.2500,0.0000,0.0000,0.2500
R Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.3500,0.6500,0.9500,0.7500,0.6000,0.7500,0.7000,0.6500,0.8250,1.0000,0.3000,0.4000,0.5500,0.2000,0.2000,0.4500,0.5000,0.4500,0.0500,0.0000,0.2000,0.5000,0.0000,0.1500,0.0000,0.0000,0.0000
Tenis Kortu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.4000,0.6500,0.4750,0.3000,1.0000,0.7500,0.6500,0.7500,0.7500,0.4000,0.3500,0.3000,0.6000,0.4500,0.4000,0.6500,0.3500,0.1000,0.0000,0.0000,0.7500
N Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.4000,0.5000,0.7500,0.5750,0.4000,0.7500,1.0000,0.7500,0.7500,0.6500,0.5000,0.4500,0.4000,0.5000,0.2000,0.4500,0.3500,0.2000,0.3500,0.2500,0.0000,0.5000
L Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.5500,0.6500,0.7000,0.5000,0.5500,0.6500,0.7500,1.0000,0.7500,0.7500,0.8000,0.7500,0.7000,0.5000,0.2500,0.5500,0.6500,0.3000,0.5500,0.4500,0.0000,0.5500
K Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.4000,0.4500,0.0000,0.2000,0.7500,0.7500,0.7500,1.0000,0.8000,0.5000,0.4500,0.4000,0.7000,0.5500,0.4500,0.3500,0.4500,0.3500,0.2000,0.0000,0.8500
H Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.1500,0.2000,0.4500,0.5000,0.2000,0.7500,0.6500,0.7500,0.8000,1.0000,0.5500,0.5000,0.4500,0.8000,0.5500,0.7500,0.5500,0.6000,0.4500,0.3500,0.0000,0.7000
I Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.4500,0.2500,0.1000,0.4500,0.7000,0.4500,0.7500,0.4500,0.4000,0.5000,0.8000,0.5000,0.5500,1.0000,0.8000,0.9000,0.5500,0.2500,0.5500,0.6500,0.3000,0.5500,0.2500,0.0000,0.5000
J Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.4500,0.2500,0.1000,0.5000,0.7500,0.4000,0.7500,0.5000,0.3500,0.4500,0.7500,0.4500,0.5000,0.8000,1.0000,0.9000,0.4500,0.1500,0.4500,0.5500,0.2000,0.4500,0.1500,0.0000,0.4000
F Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.4500,0.2500,0.1000,0.4500,0.7000,0.3500,0.7500,0.4500,0.3000,0.4000,0.7000,0.4000,0.4500,0.9000,0.9000,1.0000,0.5500,0.2500,0.5500,0.6500,0.3000,0.6000,0.1000,0.0000,0.5000
E Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.3500,0.2500,0.0500,0.6000,0.5000,0.5000,0.7000,0.8000,0.5500,0.4500,0.5500,1.0000,0.8500,0.8500,0.5500,0.6000,0.5500,0.3000,0.0000,0.8500
B Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4500,0.2000,0.2500,0.5500,0.5500,0.2500,0.1500,0.2500,0.8500,1.0000,0.6000,0.5500,0.8500,0.6500,0.5000,0.2000,0.7000
C Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3000,0.2500,0.2000,0.4000,0.4500,0.5500,0.4500,0.7500,0.5500,0.4500,0.5500,0.8500,0.6000,1.0000,0.6000,0.8500,0.6500,0.5000,0.2500,0.5000
D Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0500,0.3000,0.2000,0.5000,0.5000,0.6500,0.3500,0.6500,0.3500,0.5500,0.6500,0.5500,0.6500,0.5500,0.5500,0.6000,1.0000,0.8500,0.6000,0.4500,0.1500,0.4000
Saglik Merkezi,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.3500,0.2000,0.3000,0.4500,0.6000,0.3000,0.2000,0.3000,0.6000,0.8500,0.8500,0.8500,1.0000,0.7000,0.6000,0.1500,0.6000
A Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.1500,0.2500,0.1500,0.1000,0.3500,0.5500,0.3500,0.4500,0.5500,0.4500,0.6000,0.5500,0.6500,0.6500,0.6000,0.7000,1.0000,0.8000,0.1000,0.3500
S Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.4500,0.2000,0.3500,0.2500,0.1500,0.1000,0.3000,0.5000,0.5000,0.4500,0.6000,0.8000,1.0000,0.1500,0.3500
T Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2500,0.1500,0.1500,0.1000,0.1500,1.0000,0.0000
G Yurdu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3000,0.2500,0.0000,0.7500,0.5000,0.5500,0.8500,0.7000,0.5000,0.4000,0.5000,0.8500,0.7000,0.5000,0.4000,0.6000,0.3500,0.3500,0.0000,1.0000
